Project_ID ,Project_Name ,Budget,Duration,Team_Size ,Client_Feedback,Success ,Functional_Requirements,Technologies_Used,Similarity_Score
1,Website Redesign,1000,5,5,Excellent       ,1,"Improve user interface, Add e-commerce functionality","HTML, CSS, JavaScript, PHP   ",0.2742231446202695
2,Mobile App Launch,2000,2,6,good,0,"User authentication, In-app purchases"," React Native, Firebase      ",0.0
3,Marketing Campaign,25000,10,10,Excellent       ,1,"Social media integration, Email marketing automation","MailChimp, Facebook Ads Manager  ",0.0
4,Product Development,20000,24,12,Excellent       ,1,"Prototype development, Feature prioritization  "," Python, Django, PostgreSQL ",0.0
5,Consulting Project,30000,6,4,good,1,"Needs analysis, Solution design ","Microsoft Excel, PowerPoint  ",0.0
6,Data Analysis Project,15000,8,8,Excellent,1,"Data analysis, Data visualization","Python, Pandas, Matplotlib",0.0
7,Web Development Project,18000,12,6,good,1,"Frontend development, Backend development","CSS, JavaScript, Node.js, MongoDB",0.14285993300177338
8,Web Development Project,18000,12,6,Good,1,"Frontend development,Backend development","HTML, CSS, JavaScript, Node.js",0.2857901393604896
9,E-commerce Platform Development,35000,20,10,Excellent,1,E-commerce features implementation,"PHP,MySQL,Laravel",0.0
10,Mobile Game Development,25000,16,7,Good,1,Game design,"Unity,C#",0.0
11,AI Chatbot Development,28000,14,5,Excellent,1,Natural language processing,"Python,TensorFlow",0.0
12,Développement d'une plateforme de commerce électronique,28000,16,6,Excellent,1,"Développement de fonctionnalités e-commerce, Intégration de passerelles de paiement","React, Node.js, MongoDB",0.0
13,Conception d'une application de gestion des tâches,20000,10,5,Bon,1,"Gestion des tâches, Synchronisation multi-appareils","React Native, Firebase",0.0
14,Développement d'un système de recommandation de films,35000,18,8,Excellent,1,"Système de recommandation, Traitement de données massives","Python, TensorFlow, Scikit-learn",0.0
15,Migration d'une base de données vers le cloud,30000,20,7,Bon,1,"Migration de bases de données, Sécurité des données","AWS, Azure, Google Cloud Platform",0.0
16,Développement d'un système de suivi des ventes en ligne,40000,24,10,Excellent,1,"Suivi des ventes en ligne, Analyse des données de ventes","Python, Flask, MySQL",0.0
17,Développement d'une application de gestion des stocks,25000,14,6,Bon,1,"Gestion des stocks, Suivi des inventaires","Java, Spring Boot, MySQL",0.0
18,Création d'un système de réservation en ligne,32000,18,8,Excellent,1,"Système de réservation, Gestion des réservations","PHP, Laravel, PostgreSQL",0.0
19,Conception d'une plateforme d'apprentissage en ligne,30000,16,7,Bon,1,"Plateforme d'apprentissage, Gestion des cours","Django, JavaScript, MySQL",0.0
20,Développement d'un système de gestion des RH,28000,20,9,Excellent,1,"Gestion des ressources humaines, Suivi des congés","Python, Django, PostgreSQL",0.0
21,Migration d'un système CRM vers le cloud,35000,22,10,Excellent,1,"Migration CRM, Intégration cloud","Salesforce, AWS, Azure",0.0
22,Développement d'une application de suivi des tâches,18000,10,5,Bon,1,"Gestion des tâches, Suivi des projets","React, Node.js, MongoDB",0.0
23,Création d'un site web de commerce électronique,30000,16,8,Excellent,1,"E-commerce, Gestion des commandes","HTML, CSS, JavaScript, PHP, MySQL",0.4312537918999333
24,Développement d'une application mobile de fitness,25000,14,6,Bon,1,"Suivi de la condition physique, Planification des séances d'entraînement","React Native, Firebase",0.0
25,Mise en place d'un système de gestion des stocks,28000,18,7,Bon,1,"Gestion des stocks, Inventaire en temps réel","Java, Spring Boot, Hibernate, PostgreSQL",0.0
26,Création d'un outil de gestion des ressources,32000,20,9,Excellent,1,"Gestion des ressources, Allocation des ressources","Python, Django, Flask, SQLite",0.0
27,Développement d'une application de gestion des événements,20000,15,6,Excellent,1,"Gestion des événements, Planification","React, Node.js, MongoDB",0.0
28,Conception d'une plateforme d'apprentissage en ligne,35000,22,8,Excellent,1,"Cours en ligne, Suivi des progrès","HTML, CSS, JavaScript, PHP, MySQL",0.39980227671329616
29,Développement d'un système de réservation de voyages,28000,18,7,Bon,1,"Réservation de vols, Hébergement","React Native, Firebase",0.0
30,Création d'un système de gestion des employés,30000,20,9,Excellent,1,"Gestion des employés, Suivi du temps de travail","Java, Spring Boot, Hibernate, PostgreSQL",0.0
31,Mise en place d'un système de gestion des documents,32000,16,6,Bon,1,"Gestion des documents, Archivage","Python, Django, Flask, SQLite",0.0
32,Développement d'une application de suivi de fitness,25000,14,5,Bon,1,"Suivi des activités physiques, Entraînements personnalisés","Flutter, Firebase",0.0
33,Création d'un système de gestion des stocks,30000,18,7,Excellent,1,"Gestion des stocks, Suivi des inventaires","Python, Django, PostgreSQL",0.0
34,Développement d'un jeu mobile de quiz,20000,12,4,Bon,1,"Quiz interactif, Gestion des scores","Unity, C#",0.0
35,Conception d'une application de gestion de tâches,22000,16,6,Bon,1,"Gestion des tâches, Rappels","React Native, Node.js, MongoDB",0.0
36,Mise en place d'un système de réservation de salles,28000,20,8,Excellent,1,"Réservation de salles, Disponibilité en temps réel","PHP, Laravel, MySQL",0.0
37,Création d'une application de suivi des dépenses,18000,10,4,Bon,1,"Suivi des dépenses, Catégorisation des transactions","React Native, Firebase",0.0
